abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,image_filename,image_exists,category
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,45,80,1059860,1.5,83,Pigeotピジョット,Pidgeot,50.0,18,135,80,121,normal,flying,39.5,1,0,18.jpg,True,Bird
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255,35,1000000,,30,Korattaコラッタ,Rattata,50.0,19,25,35,72,normal,dark,,1,0,19.jpg,True,Mouse
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127,70,1000000,,75,Rattaラッタ,Raticate,50.0,20,40,80,77,normal,dark,,1,0,20.jpg,True,Mouse
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50.0,21,31,31,70,normal,flying,2.0,1,0,21.jpg,True,Tiny
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90,65,1000000,1.2,65,Onidrillオニドリル,Fearow,50.0,22,61,61,100,normal,flying,38.0,1,0,22.jpg,True,Beak
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255,44,1000000,2.0,35,Arboアーボ,Ekans,50.0,23,40,54,55,poison,,6.9,1,0,23.jpg,True,Snake
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90,69,1000000,3.5,60,Arbokアーボック,Arbok,50.0,24,65,79,80,poison,,65.0,1,0,24.jpg,True,Cobra
"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190,40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50.0,25,50,50,90,electric,,6.0,1,0,25.jpg,True,Mouse
"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75,50,1000000,,60,Raichuライチュウ,Raichu,50.0,26,95,85,110,electric,electric,,1,0,26.jpg,True,Mouse
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255,90,1000000,,50,Sandサンド,Sandshrew,50.0,27,10,35,40,ground,ice,,1,0,27.jpg,True,Mouse
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90,120,1000000,,75,Sandpanサンドパン,Sandslash,50.0,28,25,65,65,ground,ice,,1,0,28.jpg,True,Mouse
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235,52,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,0.0,29,40,40,41,poison,,7.0,1,0,29.jpg,True,Poison
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120,67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0.0,30,55,55,56,poison,,20.0,1,0,30.jpg,True,Poison
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45,87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0.0,31,75,85,76,poison,ground,60.0,1,0,31.jpg,True,Drill
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235,40,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,100.0,32,40,40,50,poison,,9.0,1,0,32.jpg,True,Poison
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120,57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100.0,33,55,55,65,poison,,19.5,1,0,33.jpg,True,Poison
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45,77,1059860,1.4,81,Nidokingニドキング,Nidoking,100.0,34,85,75,85,poison,ground,62.0,1,0,34.jpg,True,Drill
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150,48,800000,0.6,70,Pippiピッピ,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0,35.jpg,True,Fairy
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25,73,800000,1.3,95,Pixyピクシー,Clefable,24.6,36,95,90,60,fairy,,40.0,1,0,36.jpg,True,Fairy
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190,40,1000000,,38,Rokonロコン,Vulpix,24.6,37,50,65,65,fire,ice,,1,0,37.jpg,True,Fox
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75,75,1000000,,73,Kyukonキュウコン,Ninetales,24.6,38,81,100,109,fire,ice,,1,0,38.jpg,True,Fox
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170,20,800000,0.5,115,Purinプリン,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0,39.jpg,True,Balloon
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50,45,800000,1.0,140,Pukurinプクリン,Wigglytuff,24.6,40,85,50,45,normal,fairy,12.0,1,0,40.jpg,True,Balloon
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,255,35,1000000,0.8,40,Zubatズバット,Zubat,50.0,41,30,40,55,poison,flying,7.5,1,0,41.jpg,True,Bat
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,90,70,1000000,1.6,75,Golbatゴルバット,Golbat,50.0,42,65,75,90,poison,flying,55.0,1,0,42.jpg,True,Bat
"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,255,55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50.0,43,75,65,30,grass,poison,5.4,1,0,43.jpg,True,Weed
"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,120,70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50.0,44,85,75,40,grass,poison,8.6,1,0,44.jpg,True,Weed
"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45,85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50.0,45,110,90,50,grass,poison,18.6,1,0,45.jpg,True,Flower
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,190,55,1000000,0.3,35,Parasパラス,Paras,50.0,46,45,55,25,bug,grass,5.4,1,0,46.jpg,True,Mushroom
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,75,80,1000000,1.0,60,Parasectパラセクト,Parasect,50.0,47,60,80,30,bug,grass,29.5,1,0,47.jpg,True,Mushroom
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,190,50,1000000,1.0,60,Kongpangコンパン,Venonat,50.0,48,40,55,45,bug,poison,30.0,1,0,48.jpg,True,Insect
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,75,60,1000000,1.5,70,Morphonモルフォン,Venomoth,50.0,49,90,75,90,bug,poison,12.5,1,0,49.jpg,True,Poison
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,255,30,1000000,,10,Digdaディグダ,Diglett,50.0,50,35,45,90,ground,ground,,1,0,50.jpg,True,Mole
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50,60,1000000,,35,Dugtrioダグトリオ,Dugtrio,50.0,51,50,70,110,ground,ground,,1,0,51.jpg,True,Mole
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,255,35,1000000,,40,Nyarthニャース,Meowth,50.0,52,50,40,90,normal,dark,,1,0,52.jpg,True,Scratch
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90,60,1000000,,65,Persianペルシアン,Persian,50.0,53,75,65,115,normal,dark,,1,0,53.jpg,True,Classy
"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,190,48,1000000,0.8,50,Koduckコダック,Psyduck,50.0,54,65,50,55,water,,19.6,1,0,54.jpg,True,Duck
"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75,78,1000000,1.7,80,Golduckゴルダック,Golduck,50.0,55,95,80,85,water,,76.6,1,0,55.jpg,True,Duck
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,190,35,1000000,0.5,40,Mankeyマンキー,Mankey,50.0,56,35,45,70,fighting,,28.0,1,0,56.jpg,True,Pig
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,75,60,1000000,1.0,65,Okorizaruオコリザル,Primeape,50.0,57,60,70,95,fighting,,32.0,1,0,57.jpg,True,Pig
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,190,45,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,58,70,50,60,fire,,19.0,1,0,58.jpg,True,Puppy
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75,80,1250000,1.9,90,Windieウインディ,Arcanine,75.4,59,100,80,95,fire,,155.0,1,0,59.jpg,True,Legendary
"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,255,40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50.0,60,40,40,90,water,,12.4,1,0,60.jpg,True,Tadpole
"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,120,65,1059860,1.0,65,Nyorozoニョロゾ,Poliwhirl,50.0,61,50,50,90,water,,20.0,1,0,61.jpg,True,Tadpole
"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,45,95,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,50.0,62,70,90,70,water,fighting,54.0,1,0,62.jpg,True,Tadpole
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,200,15,1059860,0.9,25,Caseyケーシィ,Abra,75.4,63,105,55,90,psychic,,19.5,1,0,63.jpg,True,Psi
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,100,30,1059860,1.3,40,Yungererユンゲラー,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0,64.jpg,True,Psi
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,50,65,1059860,1.5,55,Foodinフーディン,Alakazam,75.4,65,175,105,150,psychic,,48.0,1,0,65.jpg,True,Psi
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,180,50,1059860,0.8,70,Wanrikyワンリキー,Machop,75.4,66,35,35,35,fighting,,19.5,1,0,66.jpg,True,Superpower
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,5120,70,405,90,70,1059860,1.5,80,Gorikyゴーリキー,Machoke,75.4,67,50,60,45,fighting,,70.5,1,0,67.jpg,True,Superpower
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,5120,70,505,45,80,1059860,1.6,90,Kairikyカイリキー,Machamp,75.4,68,65,85,55,fighting,,130.0,1,0,68.jpg,True,Superpower
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,5120,70,300,255,35,1059860,0.7,50,Madatsubomiマダツボミ,Bellsprout,50.0,69,70,30,40,grass,poison,4.0,1,0,69.jpg,True,Flower
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,5120,70,390,120,50,1059860,1.0,65,Utsudonウツドン,Weepinbell,50.0,70,85,45,55,grass,poison,6.4,1,0,70.jpg,True,Flycatcher
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,5120,70,490,45,65,1059860,1.7,80,Utsubotウツボット,Victreebel,50.0,71,100,70,70,grass,poison,15.5,1,0,71.jpg,True,Flycatcher
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,5120,70,335,190,35,1250000,0.9,40,Menokurageメノクラゲ,Tentacool,50.0,72,50,100,70,water,poison,45.5,1,0,72.jpg,True,Jellyfish
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,5120,70,515,60,65,1250000,1.6,80,Dokukurageドククラゲ,Tentacruel,50.0,73,80,120,100,water,poison,55.0,1,0,73.jpg,True,Jellyfish
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,3840,70,300,255,100,1059860,,40,Isitsubuteイシツブテ,Geodude,50.0,74,30,30,20,rock,ground,,1,0,74.jpg,True,Rock
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,3840,70,390,120,115,1059860,,55,Goloneゴローン,Graveler,50.0,75,45,45,35,rock,ground,,1,0,75.jpg,True,Rock
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,3840,70,495,45,130,1059860,,80,Golonyaゴローニャ,Golem,50.0,76,55,65,45,rock,ground,,1,0,76.jpg,True,Megaton
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,5120,70,410,190,55,1000000,1.0,50,Ponytaポニータ,Ponyta,50.0,77,65,65,90,fire,,30.0,1,0,77.jpg,True,Fire
